,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]"
315,1,3,0,2,0,0
316,0,0,4,0,6,6
317,0,0,3,0,17,8
318,0,1,1,2,3,1
319,0,5,5,6,7,3
320,0,0,3,0,16,0
321,1,6,0,0,0,0
322,1,1,2,0,0,0
323,0,0,0,0,0,21
324,1,6,0,3,0,0
325,1,8,0,22,0,0
326,0,2,2,7,11,4
327,2,3,0,11,0,30
328,2,1,0,21,0,14
329,2,4,0,2,0,0
330,0,0,1,0,1,2
331,2,0,0,4,0,6
332,0,1,1,1,4,3
333,3,4,0,6,0,10
334,2,4,1,0,0,0
335,0,0,4,0,8,0
336,1,1,1,6,5,4
337,1,4,3,17,23,0
338,0,3,3,3,2,3
339,0,2,2,4,4,4
340,1,1,0,2,0,7
341,1,7,0,5,0,13
342,2,7,0,8,0,19
343,0,0,4,0,8,9
344,0,0,0,0,0,0
345,2,3,0,1,0,3
346,1,2,1,3,11,15
347,1,2,6,3,17,9
348,2,1,1,3,9,1
349,1,1,1,10,20,0
350,2,0,0,1,1,2
351,0,0,2,0,11,8
352,0,0,0,0,1,1
353,0,0,0,0,2,2
354,0,0,0,0,0,6
355,2,0,0,7,0,15
356,0,0,0,0,0,0
357,1,1,0,0,0,0
358,0,0,6,0,15,0
359,1,2,0,0,0,0
360,1,1,1,18,8,10
361,0,0,4,0,9,6
362,0,9,9,11,13,0
363,0,3,3,5,7,3
364,0,0,0,0,0,0
365,2,3,0,10,0,0
366,2,5,4,12,11,12
367,1,1,1,10,4,9
368,0,0,0,0,0,0
369,1,1,2,1,3,2
370,1,0,0,1,3,4
371,1,1,2,0,12,24
372,1,2,0,14,0,18
373,0,0,0,0,0,10
374,0,0,0,0,0,3
375,0,4,4,1,1,0
376,0,0,5,0,11,0
377,0,1,1,2,1,2
378,0,0,0,2,2,2
379,0,2,2,10,14,0
380,2,6,0,16,0,0
381,1,3,4,1,2,2
382,0,0,0,0,0,0
383,0,1,1,1,6,5
384,1,2,2,0,2,0
385,1,6,4,2,1,4
386,0,6,6,0,0,0
387,0,0,0,0,0,9
388,1,2,0,2,0,3
389,0,6,6,2,0,3
390,1,4,2,6,0,6
391,1,1,1,3,1,1
392,0,6,6,17,17,5
393,1,1,0,0,1,5
394,0,0,4,0,0,0
395,0,0,0,0,0,0
396,0,0,0,0,0,7
397,0,0,0,0,0,4
398,2,3,4,29,25,0
399,1,2,1,18,10,28
400,2,1,0,12,0,17
401,2,2,0,19,0,11
402,0,0,0,0,0,15
403,0,0,4,0,9,11
404,1,2,2,7,5,4
405,0,0,0,0,0,7
406,1,4,1,0,0,0
407,0,0,4,0,13,16
408,0,0,3,0,5,0
409,1,1,1,3,2,1
410,0,0,2,0,13,7
411,2,3,1,16,4,17
412,1,1,2,3,7,16
413,1,2,2,6,2,14
414,1,0,0,1,0,1
415,0,0,0,0,0,22
416,0,0,5,0,0,0
417,0,1,1,1,2,2
418,1,1,2,4,12,7
419,1,3,2,10,24,19
420,0,0,1,0,8,15
421,0,0,0,0,2,2
422,1,0,0,1,2,2
423,0,0,0,0,0,6
424,1,2,1,2,5,5
425,1,4,3,7,19,13
426,0,0,0,0,0,12
427,0,0,2,0,11,9
428,1,2,0,2,0,6
429,0,1,1,2,3,1
430,1,2,1,9,4,11
431,2,1,0,0,0,0
432,0,5,5,15,20,12
433,1,4,2,10,19,0
434,1,6,0,8,0,0
435,0,0,6,0,28,0
436,0,3,3,23,34,3
437,0,0,1,0,0,17
438,0,0,2,0,4,24
439,0,4,4,15,16,0
440,1,2,0,3,0,17
441,1,2,4,22,47,0
442,0,0,2,0,4,3
